Root,Akkadian_Terms
ʾʾʾ,ḫaḫû II
ʾʾd,âdu
ʾʾl,"âlu; eʾēlu(m)"
ʾʾr,êru(m)
ʾʾṣ,wiāṣum
ʾʾš,âšu
ʾbʾ,"apû III; ebû II"
ʾbb,ebēbu(m)
ʾbd,nābutu(m) II
ʾbḫ,ebēḫu
ʾbk,abāku(m)
ʾbl,"abālu(m) I; apālu(m) I; ebēlu; wabālu(m)"
ʾbr,"abāru(m) III; ebēru(m) I.II"
ʾbs,uppusu II
ʾbt,"abātu(m) I.II; nābutu(m) II"
ʾbṭ,"ebēṭu(m) I.II; ubbuṭu IV"
ʾdʾ,"edû(m) II; uddû III"
ʾdb,edēpu(m)
ʾdd,edēdu(m)
ʾdḫ/k,edēḫu(m)
ʾdl,edēlu(m)
ʾdm,adāmum
ʾdp,edēpu(m)
ʾdq,edēqu(m)
ʾdr,"adāru(m) I.II; edēru(m)"
ʾdš,edēšu(m)
ʾgʾ,egû(m) V
ʾgg,"agāgu(m); ekēku; eqēqu"
ʾgm,agāmu
ʾgr,"agāru(m); egēru(m) I.II"
ʾḫʾ,"aḫû(m) II; ḫaḫû II"
ʾḫr,aḫāru(m)
ʾḫz,aḫāzu(m)
ʾkʾ,ekû(m) II
ʾkb/p,ekēpu(m)
ʾkd,ekēdu(m)
ʾkk,ekēku
ʾkl,"akālu(m); ekēlu(m)"
ʾkm,"akāmu II; ekēmu(m)"
ʾkp,ukkupu
ʾkṣ,ekēṣu
ʾkš,akāšu(m)
ʾlʾ,"elû(m) IV; utlellû(m)"
ʾlʾʾ,šutelūʾu
ʾld,(w)alādu(m)
ʾlḫ,elēḫu(m)
ʾlk,alāku(m)
ʾll,"alālu(m) II.III; elēlu(m) II.III"
ʾllʾ,neʾellû
ʾlp,"alāpu(m) I; elēpu(m)"
ʾlṣ,elēṣu(m)
ʾlt,"alātu(m); ḫalātum"
ʾmʾ,"amûm V; ewûm I"
ʾmd,emēdu(m)
ʾmm,emēmu(m)
ʾmq,emēqu(m) I.II
ʾmr,"amāru(m) I.II; emēru(m) I.II"
ʾms,amāṣu
ʾmṣ,"amāṣu; emēṣu(m) I.II"
ʾmš,"amāšu; emēšu"
ʾnʾ,enû(m) III
ʾnb,enēbu
ʾnḫ,anāḫu(m) I.II
ʾnn,"anānu; enēnu(m) I.II.III.IV; utnēnu(m) II"
ʾnq,enēqu(m)
ʾnš,enēšu(m)
ʾnt,enētu
ʾpʾ,"apû III; epû(m) II"
ʾpl,"apālu(m) I.II; uppulu(m) II"
ʾpp,apāpum
ʾpq,epēqu(m)
ʾpr,"apāru; ebēru(m) I; epēru(m)"
ʾps,"epēsum I; uppusu II"
ʾpš,epēšu(m) II
ʾqʾ,"eqû(m) II; uqqû(m) II"
ʾqb/p,ekēpu(m)
ʾqq,eqēqu
ʾqr,(w)aqāru(m)
ʾrʾ,"arû IV.V.VIII; erû(m) V; warûm II; wurrûm"
ʾrb,"erēbu(m) I; nērubu(m)"
ʾrd,"arādu II; (w)arādu(m)"
ʾrḫ,"arāḫu(m) I.II; erēḫu"
ʾrk,arāku(m)
ʾrm,arāmu
ʾrp,erēpu(m)
ʾrr,"arāru(m) I.III; erēru(m); naʾarruru(m)"
ʾrsʾ,šutērsû
ʾrš,"erēšu(m) I.II; (w)arāšu(m)"
ʾsʾ,"azû(m) I; esû III"
ʾsd,ussudu
ʾsḫ,"esēḫu(m) I; ezēḫu(m)"
ʾsk,"esēḫu(m) I; esēqu(m)"
ʾsl,esēlu
ʾsm,(w)asāmu(m)
ʾsp,esēpu(m)
ʾsq,esēqu(m)
ʾsr,esēru(m) II.III
ʾṣʾ,"eṣû; (w)aṣû(m)"
ʾṣb,waṣābum
